"If the Production method is empty, then it means that item can be crafted directly in Crafting function",,,,,,,,,,,,,
What item can be craft,Raw materials required for crafting,,,,,,,,,,Tools required for crafting,,
Item,Raw material1,Amount,Raw material2,Amount,Raw material3,Amount,Raw material4,Amount,Raw material5,Amount,Lv. 1 Production method,Lv. 2 Production method,Lv. 3 Production method
Blueprint: Wooden Ladder,Wooden Ladder,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: Wooden Barricade,Wooden Barricade,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: Table,Table,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Chair,Chair,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Bear Skin Rug,Bear Skin Rug,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Persian Rug,Persian Rug,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Bear Head Taxidermy,Bear Head Taxidermy,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Screen Divider,Screen Divider,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Chandelier,Chandelier,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Floor Lamp,Floor Lamp,1,Scrap,25,,,,,,,Sketching Table,,
Blueprint: Spike Trap,Spike Trap,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: Gun Body,Gun Body,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: SMG Body,SMG Body,1,Scrap,150,,,,,,,Sketching Table,,
Blueprint: Sniper Body,Sniper Body,1,Scrap,175,,,,,,,Sketching Table,,
Blueprint: Rifle Body,Rifle Body,1,Scrap,175,,,,,,,Sketching Table,,
Blueprint: Saiga-12,Saiga-12,1,Scrap,1000,,,,,,,Sketching Table,,
Blueprint: 8x Scope,8x Scope,1,Scrap,2250,,,,,,,Sketching Table,,
Blueprint: MK46,MK46,1,Scrap,1000,,,,,,,Sketching Table,,
Blueprint: Barrett,Barrett,1,Scrap,1000,,,,,,,Sketching Table,,
Blueprint: AUG,AUG,1,Scrap,1000,,,,,,,Sketching Table,,
Blueprint: ARX,ARX,1,Scrap,1000,,,,,,,Sketching Table,,
Blueprint: Vector,Vector,1,Scrap,1000,,,,,,,Sketching Table,,
Blueprint: Rocket Launcher,Rocket Launcher,1,Scrap,2250,,,,,,,Sketching Table,,
Blueprint: Cogwheel,Cogwheel,1,Scrap,750,,,,,,,Sketching Table,,
Blueprint: Glass Fragment,Glass Fragment,1,Scrap,750,,,,,,,Sketching Table,,
Blueprint: Spring,Spring,1,Scrap,750,,,,,,,Sketching Table,,
Blueprint: Chip,Chip,1,Scrap,750,,,,,,,Sketching Table,,
Blueprint: Gun Part,Gun Part,1,Scrap,750,,,,,,,Sketching Table,,
Blueprint: Precision gun part,Precision gun part,1,Scrap,750,,,,,,,Sketching Table,,
Blueprint: Car Wheel,Car Wheel,1,Scrap,125,,,,,,,Sketching Table,,
Blueprint: Car Frame,Car Frame,1,Scrap,325,,,,,,,Sketching Table,,
Blueprint: Teleporter,Teleporter,1,Scrap,1250,,,,,,,Sketching Table,,
Blueprint: MG Body,MG Body,1,Scrap,175,,,,,,,Sketching Table,,
Blueprint: Stone Barricade,Stone Barricade,1,Scrap,45,,,,,,,Sketching Table,,
Blueprint: Iron Barbed Wire,Iron Barbed Wire,1,Scrap,125,,,,,,,Sketching Table,,
Blueprint: Steel Barbed Wire,Steel Barbed Wire,1,Scrap,300,,,,,,,Sketching Table,,
Blueprint: Vert Iron Bars,Vert Iron Bars,1,Scrap,125,,,,,,,Sketching Table,,
Blueprint: Vert Steel Bars,Vert Steel Bars,1,Scrap,300,,,,,,,Sketching Table,,
Blueprint: Saddle,Saddle,1,Scrap,20,,,,,,,Sketching Table,,
